no,vol,article no,pages in range,publisher name,publisher location,publisher year
,38,,67-88,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,,Pearson College London,London,2019
,,,,University North,Koprivnica,2019
,,,,Faculty of Management University of Warsaw,Warsaw,2019
,,,20-32,Faculty of Law,Rabat,2019
,,,104-114,Izdatel'stvo Kazanskogo Universiteta,Kazan,2019
,,,36-43,Wydawnictwo Naukowe Akademii WSB,Górnicza,2019
2,66,,157-164,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
,,,,"SportWin, ",Poznañ,2019
385,,,37-49,Vydavate'lstvo EKONÓM,Bratislava,2011
386,,,62-71,Wydawnictwo Naukowe Akademii WSB,Górnicza,2019
386,,,72-83,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
386,,,40-51,"Springer, ",Cham,2019
386,,,52-61,Vydavate'lstvo EKONÓM,Bratislava,2019
386,,,20-29,"Springer, ",Cham,2019
386,,,30-39,Wydawnictwo Naukowe Akademii WSB,Górnicza,2019
,,,313-333,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
385,,,129-139,"Springer, ",Cham,2019
,,,,Monetary Research Center,Sofia,2019
386,,,7-19,Monetary Research Center,Sofia,2019
385,,,50-60,Wydawnictwo Naukowe Akademii WSB,Górnicza,2019
,,,251-270,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
,,,86-110,Wydawnictwo Naukowe Akademii WSB,Górnicza,2019
,,,1319-1328,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
1,7,,102-126,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
3,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
22,9,,104-114,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,111-124,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,73,,182-193,Wydawnictwo Sejmowe,Warszawa,2019
,,,287-292,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
48,,,,Wydawnictwo Politechniki Czêstochowskiej,Czestochowa,2019
33,,,11-32,Wydawnictwo Sejmowe,Warszawa,2019
,,,175-188,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
,,,48-53,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
48,,,,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,48-85,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,137-158,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,209-235,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,55-70,Pearson College London,London,2019
,,,75-85,University North,Koprivnica,2019
,,,,Faculty of Management University of Warsaw,Warsaw,2019
,,,12-19,Faculty of Law,Rabat,2019
,,,238-248,Cracow University of Economics ,Toruñ,
,,,137-142,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
22,9,,76-85,Pearson College London,London,2019
,,,111-124,University North,Koprivnica,2019
8,,,11-24,Faculty of Management University of Warsaw,Warsaw,2019
,,,131-136,Faculty of Law,Rabat,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
8,,,25-38,Wydawnictwo Proksenia,Poznañ,2019
4,,,88-100,Wydawnictwo Uniwersytetu £ódzkiego,£ódŸ,2019
,,,41-47,Cracow University of Economics ,Toruñ,
4,,,163-165,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,124-130,Wydawnictwo Proksenia,Poznañ,2019
,,,,Wydawnictwo Proksenia,Poznañ,2019
,,,35-40,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,205-216,Wydawnictwo Uniwersytetu £ódzkiego,£ódŸ,2019
,,,13-47,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,,Pearson College London,London,2019
,,,205-235,University North,Koprivnica,2019
,,,46-52,Faculty of Management University of Warsaw,Warsaw,2019
380,,,67-78,Faculty of Law,Rabat,2019
,,,,Ko³o Naukowe Systemów Komunikacyjnych Politechniki Krakowskiej im. T. Koœciuszki,Kraków,2019
380,,,7-16,Urz¹d Komisji Nadzoru Finansowego,Warszawa,2019
,20,,145-156,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,20,,99-110,Ko³o Naukowe Systemów Komunikacyjnych Politechniki Krakowskiej im. T. Koœciuszki,Kraków,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
2,11,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
6,,,16-22,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,39,,29-44,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,483-491,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,20-66,Izdatel'stvo Kazanskogo Universiteta,Kazan,2019
,,,9-19,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,732-739,Pearson College London,London,2019
14,,,243-254,University North,Koprivnica,2019
,,,,Faculty of Management University of Warsaw,Warsaw,2019
,1,,,Faculty of Law,Rabat,2019
380,,,104-113,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
380,,,127-139,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de CatalunyaBarcelonaTech,Barcelona,2019
3,4,,,Lvivskiy Nacionalnyi Universitet imeni Ivana Franka,Lviv,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
2,141,,861-871,"Springer, ",Cham,2019
,20,,171-187,Wydawnictwo Uniwersytetu Ekonomicznego we Wroc³awiu,Wroc³aw,2019
,20,,157-169,Lvivskiy Nacionalnyi Universitet imeni Ivana Franka,Lviv,2019
6,98,,2391-2424,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,241-252,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,3-16,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,7,,525-539,"Springer, ",Cham,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,422-433,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
,,,122-132,Wydawnictwo Politechniki Czêstochowskiej,Czestochowa,2019
,,,145-154,AGH University of Science and Technology Press,Kraków,2019
,,,,"Elsevier, ",Amsterdam,2019
,,,,AGH University of Science and Technology Press,Kraków,2019
,,,13-23,"Springer, ",Cham,2019
,,,53-71,"Elsevier, ",Amsterdam,2019
,,,,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de Catalunya,Barcelona,2019
,,,,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
16,11,,,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de Catalunya,Barcelona,2019
,,,68-77,Editura Economica,Bucharest,2019
,,,56-67,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de CatalunyaBarcelonaTech,Barcelona,2019
,,,103-118,"Springer, ",Cham,2019
,,,92-102,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de Catalunya,Barcelona,2019
,,,5-19,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
,,,20-30,Editura Economica,Bucharest,2019
,,,,University College of Inspection and Personnel Management in Split,Split,2019
1,11,,,The University of Applied Sciences Baltazar,Zapresic,2019
4,24,,445-468,University North,Koprivnica,2019
387,,,35-54,Faculty of Management University of Warsaw,Warsaw,2019
3,,,625-651,Faculty of Law,Rabat,2019
387,,,101-114,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
1,19,,98-109,University College of Inspection and Personnel Management in Split,Split,2019
387,,,20-34,The University of Applied Sciences Baltazar,Zapresic,2019
2,33,,220-232,University North,Koprivnica,2019
,,,283-294,Faculty of Management University of Warsaw,Warsaw,2019
3,,,1-7,Faculty of Law,Rabat,2019
,,,51-60,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,17-27,The University of Applied Sciences Baltazar,Zapresic,2019
14,,,179-194,University North,Koprivnica,2019
53,,,227-262,Faculty of Management University of Warsaw,Warsaw,2019
,,,201-211,Faculty of Law,Rabat,2019
,2019,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
136,,,609-618,University College of Inspection and Personnel Management in Split,Split,2019
,,,319-328,The University of Applied Sciences Baltazar,Zapresic,2019
,,,,University North,Koprivnica,2019
,,,214-234,Faculty of Management University of Warsaw,Warsaw,2019
1,13,,1-11,Faculty of Law,Rabat,2019
,14,,119-143,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,409-424,"CeDeWu, ",Warszawa,2019
,,,248-251,Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu,Poznañ,2019
,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,1-7,Wy¿sza Szko³a Zarz¹dzania i Administracji w Opolu,Opole,2019
,,,319-335,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
1,13,,62-71,Woronezskij Gosudarstvennyj Pedagogiceskij Universitet,Worone¿,2019
,,,95-102,ISEN Yncréa Méditerranée,Toulon,2019
53,,,103-128,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wy¿sza Szko³a Zarz¹dzania i Administracji w Opolu,Opole,2019
,11,,22-31,Wydawnictwo C.H. Beck,Warszawa,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,31,,75-80,Alanya Alaaddin Keykubat University,Alanya,2019
7,5,e01970,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,27,,77-95,"CeDeWu, ",Warszawa,2019
4,20,,147-170,Alanya Alaaddin Keykubat University,Alanya,2019
,55,,373-392,Wydawnictwo Naukowe Scholar,Warszawa,2019
,,,44-45,Alanya Alaaddin Keykubat University,Alanya,2019
,,,,Diamond Scientific Publication,Vilnius,2019
,,,173-186,Diamond Scientific Publication,Vilnius,2019
,,,282-289,Vilnius Gediminas Technical University,Vilnius,2019
,,,37-38,VGTU Press \S. ,Vilnius,
1,11,,74-84,Palgrave Macmillan,Singapore,2019
,,,25-26,Diamond Scientific Publication,Vilnius,2019
,,,603-609,Diamond Scientific Publication,Vilnius,2019
,,,,Palgrave Macmillan,Singapore,2019
4,2,,57-65,Institute of Economic Research,Olsztyn,2019
3,2,,24-35,Wydawnictwo C.H. Beck,Warszawa,2019
,,,418-425,Institute of Economic Research,Olsztyn,2019
,,,47-48,Institute of Economic Research,Olsztyn,2019
,,,327-343,Wydawnictwo Uniwersytetu Jagielloñskiego,Kraków,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Institute of Economic Research,Olsztyn,2019
,,,301-305,"CeDeWu, ",Warszawa,2019
2,63,,81-90,Institute of Economic Research,Olsztyn,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Jagielloñskiego,Kraków,2019
,,,23-36,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,,,9-21,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,59-81,Institute of Economic Research,Olsztyn,2019
,,,,Vilnius Gediminas Technical University,Vilnius,2019
,,,306-316,VGTU Press \S. ,Vilnius,
,,,93-102,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,37-48,Academic Conferences and Publishing International Limited,Reading,2019
62,,,40-41,ISEN Yncréa Méditerranée,Toulon,2019
57,,,270-278,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
57,,,259-269,Wydawnictwo Uniwersytetu Œl¹skiego,Katowice,2019
,110,,232-252,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,103-116,Academic Conferences and Publishing International Limited,Reading,2019
,20,,273-287,Institute of Economic Research,Olsztyn,2019
,,,83-101,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,113-130,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
2,28,,5-21,Facultad de Ciencias Economicas,Aires,2019
,,,,Faculty of Management University of Warsaw,Warsaw,2019
1,9,,32-46,University of Belgrade,Belgrade,2019
,,,88-94,Slovenian Society Informatika,Ljubljana,2019
,,,,"Springer, ",Cham,2019
12,63,,77-87,Slovenian Society Informatika,Ljubljana,2019
,,,205-218,"Springer, ",Cham,2019
,,,98-108,"Springer, ",Cham,2019
,,,15-30,Slovenian Society Informatika,Ljubljana,2019
,,,171-181,"Springer, ",Cham,2019
378,,,111-120,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,75-87,Facultad de Ciencias Economicas,Aires,2019
,,,32-40,University North,Koprivnica,2019
378,,,99-110,Faculty of Management University of Warsaw,Warsaw,2019
,,,25-43,Economics and Social Sciences Sale - Mohammed V University in Rabat,Rabat,2019
,,,11-24,Institute of Economic Research,Olsztyn,2019
,,,196-204,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
,,,,Wydawnictwo C.H. Beck,Warszawa,2019
,,,241-253,Wy¿sza Szko³a Zarz¹dzania i Administracji w Opolu,Opole,2019
,,,301-308,Wydawnictwo C.H. Beck,Warszawa,2019
,,,,Wydawnictwo C.H. Beck,Warszawa,2019
,,,111-122,Institute of Economic Research,Olsztyn,2019
,,,,Wydawnictwo Naukowe PWN,Warszawa,2019
,,,115-124,Institute of Economic Research,Olsztyn,2019
,,,122-127,"CeDeWu, ",Warszawa,2019
,,,46-56,Institute of Economic Research,Olsztyn,2019
,,,132-139,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
,,,,Instytut Dziennikarstwa,Kraków,2019
,,,78-109,Wydawnictwo ToC,Targ,2019
,,,44-77,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,133-146,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,110-132,Wydawnictwo C.H. Beck,Warszawa,2019
,,,352-356,Instytut Dziennikarstwa,Kraków,2019
,,,352-357,Wydawnictwo ToC,Targ,2019
7,,,22-31,Wydawnictwo C.H. Beck,Warszawa,2019
,,,197-247,Faculty of Mass Media Communication,Trnava,2019
,,,271-275,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,193-199,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,184-196,Instytut Pamiêci Narodowej - Komisja Œcigania Zbrodni przeciwko Narodowi Polskiemu,Warszawa,2019
,,,177-188,Slovenian Society Informatika,Ljubljana,2019
,,,,Faculty of Mass Media Communication,Trnava,2019
11,98,,1828-1831,Faculty of Mass Media Communication,Trnava,2019
1,41,,15-22,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
,,,126-159,Instytut Pamiêci Narodowej - Komisja Œcigania Zbrodni przeciwko Narodowi Polskiemu,Warszawa,2019
,,,85-125,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
,103,,135-150,Faculty of Mass Media Communication,Trnava,2019
,,,170-183,Kancelaria Senatu,Warszawa,2019
,,,,Slovenian Society Informatika,Ljubljana,2019
,8,,26-36,Kancelaria Senatu,Warszawa,2019
,,,160-169,"Springer, ",Cham,2019
14,,,313-324,Emerald Publishing Limited,Bingley,2019
21,,,211-219,Wydawnictwo Politechniki £ódzkiej,£ódŸ,2019
,,,67-84,Governance Research and Development Centre (CIRU),Zagreb,2019
2,12,,250-266,Wydawnictwo Politechniki £ódzkiej,£ódŸ,2019
,,,61-74,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
,,,39-49,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
,,,83-90,"CeDeWu, ",Warszawa,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu,Poznañ,2019
,,,,C.H. Beck,Warszawa,2019
,,,,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
,,,,C.H. Beck,Warszawa,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
3,23,,26-39,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,,Wydawnictwo C.H. Beck,Warszawa,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu,Poznañ,2019
,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,122-133,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,205-225,C.H. Beck,Warszawa,2019
,,,549-569,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
,,,182-189,Routledge,York,2019
4,22,,21-36,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
,,,,C.H. Beck,Warszawa,2019
,,,27-28,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,103-112,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,34-48,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
4,,,176-187,Publishing House of the University of Economics in Katowice,Katowice,2019
4,15,,139-161,C.H. Beck,Warszawa,2019
3,20,,241-255,Routledge,York,2019
,,,55-68,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
80,,,219-234,C.H. Beck,Warszawa,2019
136,,,257-266,"Springer, ",Cham,2019
,76,,682-696,"CeDeWu, ",Warszawa,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,,University North,Koprivnica,2019
,,,334-340,Faculty of Management University of Warsaw,Warsaw,2019
21,,,51-63,Faculty of Law,Rabat,2019
,,,191-210,Polytechnic of Medimurje in Cakovec,Cakovec,2019
,,,175-188,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
6,,,97-112,University North,Koprivnica,2019
2,,,29-46,Faculty of Management University of Warsaw,Warsaw,2019
70,2,,91-122,Faculty of Law,Rabat,2019
3,20,,271-286,Polytechnic of Medimurje in Cakovec,Cakovec,2019
,,,141-152,Woronezskij Gosudarstvennyj Pedagogiceskij Universitet,Worone¿,2019
136,,,289-303,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
6,11,,,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
,,,81-104,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
5,11,,,University North,Koprivnica,2019
,,,98-106,Faculty of Management University of Warsaw,Warsaw,2019
,,,41-50,Faculty of Law,Rabat,2019
136,,,165-178,Polytechnic of Medimurje in Cakovec,Cakovec,2019
1,,,7-35,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
1,,,102-114,University North,Koprivnica,2019
136,,,267-276,Faculty of Management University of Warsaw,Warsaw,2019
6,63,,249-260,Faculty of Law,Rabat,2019
12,,,80-85,Polytechnic of Medimurje in Cakovec,Cakovec,2019
3,,,63-76,Uniwersytet Œl¹ski w Katowicach. Wydzia³ Prawa i Administracji,Katowice,2019
2,13,,46-55,Wydawnictwo C.H. Beck,Warszawa,2019
,,,,Uniwersytet Œl¹ski w Katowicach. Wydzia³ Prawa i Administracji,Katowice,2019
,,,,IGI Global ,Hershey,
45,,,103-122,C.H. Beck,Warszawa,2019
,,,244-266,Governance Research and Development Centre (CIRU),Zagreb,2019
136,,,631-641,Wydawnictwo Politechniki £ódzkiej,£ódŸ,2019
,,,175-180,IGI Global ,Hershey,
136,,,693-705,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
